Method,K,Accuracy,Precision,Recall,F1,AUC,Model,Params,Accuracy_std
stratified_kfold,5.0,0.9,0.9,1.0,0.9333333333333332,0.9,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.2
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.9,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.9,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.9,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.9,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",
kfold,10.0,0.7,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",0.45825756949558405
stratified_kfold,5.0,0.7,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",0.4
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",
kfold,10.0,0.7,0.3,0.3,0.3,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",0.45825756949558394
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.7,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",
kfold,10.0,0.7,0.3,0.3,0.3,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.45825756949558394
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.6,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.6,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.7,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 1000}",0.4
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.6,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.7,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 500}",0.4
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.7,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 1000}",0.4
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'adaptive', 'max_iter': 2000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.9,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 500}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.8,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 1000}",0.2449489742783178
train_test_split,,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",
kfold,10.0,0.8,0.4,0.4,0.4,,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",0.4
stratified_kfold,5.0,0.8,0.7,0.8,0.7333333333333333,0.9,MLP,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'max_iter': 2000}",0.2449489742783178
